In file included from /virtual/main.c:1:
In file included from include/uapi/linux/ptrace.h:134:
In file included from arch/x86/include/asm/ptrace.h:5:
In file included from arch/x86/include/asm/segment.h:7:
arch/x86/include/asm/ibt.h:49:8: warning: 'nocf_check' attribute ignored; use -fcf-protection to enable the attribute [-Wignored-attributes]
extern __noendbr u64 ibt_save(void);
       ^
arch/x86/include/asm/ibt.h:20:34: note: expanded from macro '__noendbr'
#define __noendbr       __attribute__((nocf_check))
                                       ^
arch/x86/include/asm/ibt.h:50:8: warning: 'nocf_check' attribute ignored; use -fcf-protection to enable the attribute [-Wignored-attributes]
extern __noendbr void ibt_restore(u64 save);
       ^
arch/x86/include/asm/ibt.h:20:34: note: expanded from macro '__noendbr'
#define __noendbr       __attribute__((nocf_check))
                                       ^
2 warnings generated.
Tracing method calls in python process 172929... Ctrl-C to quit.
CPU PID    TID    TIME(us) METHOD
1   172929 172929 0.136    <- /usr/lib/python3.8/selectors.py.select
1   172929 172929 0.136    -> /usr/lib/python3.8/socketserver.py.service_actions
1   172929 172929 0.136    <- /usr/lib/python3.8/socketserver.py.service_actions
1   172929 172929 0.136    -> /usr/lib/python3.8/selectors.py.select
1   172929 172929 0.637    <- /usr/lib/python3.8/selectors.py.select
1   172929 172929 0.637    -> /usr/lib/python3.8/socketserver.py.service_actions
1   172929 172929 0.637    <- /usr/lib/python3.8/socketserver.py.service_actions
1   172929 172929 0.637    -> /usr/lib/python3.8/selectors.py.select
1   172929 172929 0.999      -> /usr/lib/python3.8/selectors.py._key_from_fd
1   172929 172929 0.999      <- /usr/lib/python3.8/selectors.py._key_from_fd
1   172929 172929 0.999    <- /usr/lib/python3.8/selectors.py.select
1   172929 172929 0.999    -> /usr/lib/python3.8/socketserver.py._handle_request_noblock
1   172929 172929 0.999      -> /usr/lib/python3.8/socketserver.py.get_request
1   172929 172929 0.999        -> /usr/lib/python3.8/socket.py.accept
1   172929 172929 0.999          -> /usr/lib/python3.8/socket.py.family
1   172929 172929 0.999            -> /usr/lib/python3.8/socket.py._intenum_converter
1   172929 172929 0.999              -> /usr/lib/python3.8/enum.py.__call__
1   172929 172929 0.999                -> /usr/lib/python3.8/enum.py.__new__
1   172929 172929 0.999                <- /usr/lib/python3.8/enum.py.__new__
1   172929 172929 0.999              <- /usr/lib/python3.8/enum.py.__call__
1   172929 172929 0.999            <- /usr/lib/python3.8/socket.py._intenum_converter
1   172929 172929 0.999          <- /usr/lib/python3.8/socket.py.family
1   172929 172929 0.999          -> /usr/lib/python3.8/socket.py.type
1   172929 172929 0.999            -> /usr/lib/python3.8/socket.py._intenum_converter
1   172929 172929 0.999              -> /usr/lib/python3.8/enum.py.__call__
1   172929 172929 0.999                -> /usr/lib/python3.8/enum.py.__new__
1   172929 172929 0.999                <- /usr/lib/python3.8/enum.py.__new__
1   172929 172929 0.999              <- /usr/lib/python3.8/enum.py.__call__
1   172929 172929 0.999            <- /usr/lib/python3.8/socket.py._intenum_converter
1   172929 172929 0.999          <- /usr/lib/python3.8/socket.py.type
1   172929 172929 0.999          -> /usr/lib/python3.8/socket.py.__init__
1   172929 172929 0.999          <- /usr/lib/python3.8/socket.py.__init__
1   172929 172929 0.999        <- /usr/lib/python3.8/socket.py.accept
1   172929 172929 0.999      <- /usr/lib/python3.8/socketserver.py.get_request
1   172929 172929 0.999      -> /usr/lib/python3.8/socketserver.py.verify_request
1   172929 172929 0.999      <- /usr/lib/python3.8/socketserver.py.verify_request
1   172929 172929 0.999      -> /usr/lib/python3.8/socketserver.py.process_request
1   172929 172929 0.999        -> /usr/lib/python3.8/threading.py.__init__
1   172929 172929 0.999          -> /usr/lib/python3.8/threading.py._newname
1   172929 172929 0.999          <- /usr/lib/python3.8/threading.py._newname
1   172929 172929 0.999          -> /usr/lib/python3.8/threading.py.current_thread
